ct_uid,ct_name,municipality_code,municipality_name,apciq_sector_number,population_weight,population_in_sector,tract_population,weight_basis,assignment_method,neighbourhood_names,tract_is_shared,includes_corrected_point
4620302.00,0302.00,66023,Montréal,4,1.000000,2923,2923,population,neighbourhood_polygon,Verdun-Centre,False,False
4620303.00,0303.00,66023,Montréal,4,1.000000,2376,2376,population,neighbourhood_polygon,Verdun-Centre,False,False
4620304.00,0304.00,66023,Montréal,4,1.000000,3191,3191,population,neighbourhood_polygon,Verdun-Centre,False,False
4620305.00,0305.00,66023,Montréal,4,1.000000,3973,3973,population,neighbourhood_polygon,Verdun-Centre,False,False
4620306.00,0306.00,66023,Montréal,4,1.000000,2781,2781,population,neighbourhood_polygon,Verdun-Centre,False,False
4620307.00,0307.00,66023,Montréal,4,1.000000,3032,3032,population,neighbourhood_polygon,Verdun-Centre,False,False
4620308.00,0308.00,66023,Montréal,4,1.000000,2688,2688,population,neighbourhood_polygon,Verdun-Centre,False,False
4620309.00,0309.00,66023,Montréal,4,1.000000,1352,1352,population,neighbourhood_polygon,Verdun-Centre,False,False
4620310.00,0310.00,66023,Montréal,4,1.000000,3393,3393,population,neighbourhood_polygon,Desmarchais-Crawford,False,False
4620311.00,0311.00,66023,Montréal,4,1.000000,4092,4092,population,neighbourhood_polygon,Desmarchais-Crawford,False,False
4620312.00,0312.00,66023,Montréal,4,1.000000,3162,3162,population,neighbourhood_polygon,Desmarchais-Crawford,False,False
4620313.00,0313.00,66023,Montréal,4,1.000000,3221,3221,population,neighbourhood_polygon,Desmarchais-Crawford,False,False
4620314.00,0314.00,66023,Montréal,4,1.000000,2448,2448,population,neighbourhood_polygon,Desmarchais-Crawford,False,False
4620315.00,0315.00,66023,Montréal,4,1.000000,15,15,population,neighbourhood_polygon,Desmarchais-Crawford,False,False
4620316.00,0316.00,66023,Montréal,4,1.000000,2174,2174,population,neighbourhood_polygon,Desmarchais-Crawford,False,False
4620410.01,0410.01,66023,Montréal,5,1.000000,5529,5529,population,borough_code,,False,False
4620410.02,0410.02,66023,Montréal,5,1.000000,6013,6013,population,borough_code,,False,False
4620410.03,0410.03,66023,Montréal,5,1.000000,1756,1756,population,borough_code,,False,False
4620412.00,0412.00,66023,Montréal,5,1.000000,7061,7061,population,borough_code,,False,False
4620413.01,0413.01,66023,Montréal,5,1.000000,3760,3760,population,borough_code,,False,False
4620413.02,0413.02,66023,Montréal,5,1.000000,4048,4048,population,borough_code,,False,False
4620415.03,0415.03,66023,Montréal,5,1.000000,4011,4011,population,borough_code,,False,False
4620415.04,0415.04,66023,Montréal,5,1.000000,5458,5458,population,borough_code,,False,False
4620415.07,0415.07,66023,Montréal,5,1.000000,7568,7568,population,borough_code,,False,False
4620415.08,0415.08,66023,Montréal,5,1.000000,2686,2686,population,borough_code,,False,False
4620415.09,0415.09,66023,Montréal,5,1.000000,3033,3033,population,borough_code,,False,False
4620415.10,0415.10,66023,Montréal,5,1.000000,5297,5297,population,borough_code,,False,False
4620416.01,0416.01,66023,Montréal,5,1.000000,4000,4000,population,borough_code,,False,False
4620416.02,0416.02,66023,Montréal,5,1.000000,3329,3329,population,borough_code,,False,False
4620417.01,0417.01,66023,Montréal,5,1.000000,5046,5046,population,borough_code,,False,False
4620417.02,0417.02,66023,Montréal,5,1.000000,2748,2748,population,borough_code,,False,False
4620418.00,0418.00,66023,Montréal,5,1.000000,5704,5704,population,borough_code,,False,False
4620419.00,0419.00,66023,Montréal,5,1.000000,4786,4786,population,borough_code,,False,False
4620420.00,0420.00,66023,Montréal,5,1.000000,5114,5114,population,borough_code,,False,False
4620421.03,0421.03,66023,Montréal,5,1.000000,2948,2948,population,borough_code,,False,False
4620421.04,0421.04,66023,Montréal,5,1.000000,4407,4407,population,borough_code,,False,False
4620421.05,0421.05,66023,Montréal,5,1.000000,2339,2339,population,borough_code,,False,False
4620421.06,0421.06,66023,Montréal,5,1.000000,5463,5463,population,borough_code,,False,False
4620511.02,0511.02,66023,Montréal,5,0.071396,476,6667,population,borough_code,,True,False
4620264.01,0264.01,66023,Montréal,6,1.000000,5369,5369,population,borough_code,,False,False
4620264.02,0264.02,66023,Montréal,6,1.000000,5432,5432,population,borough_code,,False,False
4620265.00,0265.00,66023,Montréal,6,1.000000,4561,4561,population,borough_code,,False,False
4620266.00,0266.00,66023,Montréal,6,1.000000,3195,3195,population,borough_code,,False,False
4620267.00,0267.00,66023,Montréal,6,1.000000,6463,6463,population,borough_code,,False,False
4620268.01,0268.01,66023,Montréal,6,1.000000,6525,6525,population,borough_code,,False,False
4620268.02,0268.02,66023,Montréal,6,1.000000,6170,6170,population,borough_code,,False,False
4620268.03,0268.03,66023,Montréal,6,1.000000,489,489,population,borough_code,,False,False
4620269.00,0269.00,66023,Montréal,6,1.000000,4521,4521,population,borough_code,,False,False
4620270.00,0270.00,66023,Montréal,6,1.000000,4739,4739,population,borough_code,,False,False
4620271.00,0271.00,66023,Montréal,6,1.000000,3477,3477,population,borough_code,,False,False
4620272.00,0272.00,66023,Montréal,6,1.000000,3715,3715,population,borough_code,,False,False
