ref_date,geo,dguid,median_hh_total_income_2020,median_hh_total_income_2015,median_hh_aftertax_income_2020,median_hh_aftertax_income_2015,households_2021
2021,0167.00 - Montréal,2021S05074620167.00,65500,58800,57600,52000,1095
2021,0168.00 - Montréal,2021S05074620168.00,78000,64000,67000,56400,1140
2021,0169.00 - Montréal,2021S05074620169.00,87000,73000,72500,62800,935
2021,0170.00 - Montréal,2021S05074620170.00,70000,56800,60800,50400,1055
2021,0171.00 - Montréal,2021S05074620171.00,57200,48800,49600,43600,2785
2021,0172.00 - Montréal,2021S05074620172.00,58800,46000,50800,40800,1620
2021,0173.00 - Montréal,2021S05074620173.00,69000,56800,58000,48800,1150
2021,0174.00 - Montréal,2021S05074620174.00,77500,71000,63600,58400,1205
2021,0175.00 - Montréal,2021S05074620175.00,82000,78000,66500,63200,1085
2021,0176.00 - Montréal,2021S05074620176.00,69000,60000,58800,50800,905
2021,0177.00 - Montréal,2021S05074620177.00,68000,64000,59200,54400,770
2021,0178.00 - Montréal,2021S05074620178.00,61200,54800,53200,47200,1305
2021,0179.00 - Montréal,2021S05074620179.00,56400,46000,48800,41200,2175
2021,0180.00 - Montréal,2021S05074620180.00,54400,47200,47200,41600,1925
2021,0181.00 - Montréal,2021S05074620181.00,54000,50400,46800,44400,3310
2021,0182.00 - Montréal,2021S05074620182.00,62000,52400,53600,46800,1100
2021,0183.00 - Montréal,2021S05074620183.00,57600,52000,51200,45200,1205
2021,0184.00 - Montréal,2021S05074620184.00,60800,52000,52800,46000,1535
2021,0185.00 - Montréal,2021S05074620185.00,59600,50400,50800,44800,2760
2021,0186.00 - Montréal,2021S05074620186.00,55600,47200,49200,42400,2495
2021,0187.01 - Montréal,2021S05074620187.01,58400,43600,50400,38400,1920
2021,0187.03 - Montréal,2021S05074620187.03,63200,57600,54400,50800,2580
2021,0187.04 - Montréal,2021S05074620187.04,106000,90000,86000,74500,2665
2021,0188.01 - Montréal,2021S05074620188.01,59200,51600,52400,45200,1145
2021,0188.02 - Montréal,2021S05074620188.02,56400,49200,50000,43200,1380
2021,0189.00 - Montréal,2021S05074620189.00,,0,,0,
2021,0190.01 - Montréal,2021S05074620190.01,65500,60800,58000,52400,1805
2021,0190.02 - Montréal,2021S05074620190.02,78500,77000,65500,63600,2250
2021,0191.00 - Montréal,2021S05074620191.00,67500,60400,58000,52800,2920
2021,0192.00 - Montréal,2021S05074620192.00,86000,77500,73000,65500,1165
2021,0193.00 - Montréal,2021S05074620193.00,70000,62000,60800,53600,985
2021,0194.01 - Montréal,2021S05074620194.01,102000,98000,86000,82000,1740
2021,0194.02 - Montréal,2021S05074620194.02,64000,56800,57200,50800,1930
2021,0195.01 - Montréal,2021S05074620195.01,55600,50800,49200,44800,1670
2021,0195.02 - Montréal,2021S05074620195.02,64500,54800,56800,49200,2340
2021,0195.03 - Montréal,2021S05074620195.03,64500,58400,57200,52000,2300
2021,0196.00 - Montréal,2021S05074620196.00,56400,50000,50400,44800,2125
2021,0197.00 - Montréal,2021S05074620197.00,54400,50000,48400,44000,2455
2021,0198.00 - Montréal,2021S05074620198.00,57600,48800,50400,43600,2505
2021,0199.00 - Montréal,2021S05074620199.00,56800,48400,50000,43600,1335
2021,0200.00 - Montréal,2021S05074620200.00,53200,46400,47600,42000,2290
2021,0201.00 - Montréal,2021S05074620201.00,50800,44000,45200,39600,3400
2021,0202.00 - Montréal,2021S05074620202.00,56400,48400,48800,42800,2275
2021,0203.00 - Montréal,2021S05074620203.00,66000,57200,55600,48800,1470
2021,0204.00 - Montréal,2021S05074620204.00,64000,55600,55200,48400,1415
2021,0205.00 - Montréal,2021S05074620205.00,68500,56400,58400,48800,1120
2021,0206.00 - Montréal,2021S05074620206.00,64000,58800,55600,51200,1340
2021,0207.00 - Montréal,2021S05074620207.00,56400,46800,48400,41600,1815
2021,0208.00 - Montréal,2021S05074620208.00,61600,54400,53600,47200,1340
2021,0209.00 - Montréal,2021S05074620209.00,60800,49200,53200,44000,3175
2021,0210.00 - Montréal,2021S05074620210.00,63200,52800,54400,45200,2385
2021,0211.00 - Montréal,2021S05074620211.00,60800,50800,52400,44800,1295
2021,0212.00 - Montréal,2021S05074620212.00,65500,53600,55600,46800,1395
