municipality_code,municipality_name,matricule,borough_code,use_code,neighbourhood_unit,frontage_m,lot_area_m2,storeys,year_built,year_built_flag,floor_area_m2,physical_link,construction_type,dwelling_count,market_ref_date,land_value,building_value,total_value,prev_total_value
66112,Baie-D'Urfé,71290825562,,1000,0518,30.48,1393.50,2,1951,R,203.5,1,5,1,2024-07-01,522600,265700,788300,765300
66112,Baie-D'Urfé,71290821264,,1000,0518,30.48,1393.50,1,1954,R,354.0,1,5,1,2024-07-01,522600,1697100,2219700,2155000
66112,Baie-D'Urfé,71290716811,,1000,0518,30.48,1393.50,1,1948,R,170.5,1,4,1,2024-07-01,522600,300900,823500,799500
66112,Baie-D'Urfé,71290713503,,1000,0518,30.48,1393.50,1,1963,R,128.7,1,1,1,2024-07-01,522600,184200,706800,686200
66112,Baie-D'Urfé,71290710202,,1000,0518,30.48,1393.50,2,1965,R,297.1,1,5,1,2024-07-01,522600,720600,1243200,1207000
66112,Baie-D'Urfé,71290606863,,1000,0518,52.40,1458.60,1,1951,R,257.2,1,4,1,2024-07-01,547000,515200,1062200,1031300
66112,Baie-D'Urfé,70299663800,,1000,0518,73.33,1459.00,1,1954,R,247.5,1,4,1,2024-07-01,547100,381700,928800,901700
66112,Baie-D'Urfé,70299763105,,1000,0518,30.48,1494.40,2,1955,R,245.1,1,2,1,2024-07-01,560400,473600,1034000,1003900
66112,Baie-D'Urfé,70299765332,,1000,0518,15.24,696.80,1,1940,R,152.4,1,4,1,2024-07-01,326600,340800,667400,648000
66112,Baie-D'Urfé,70299768633,,1000,0518,45.72,2090.30,1,1937,R,212.7,1,4,1,2024-07-01,705500,235000,940500,913100
66112,Baie-D'Urfé,70299887029,,1000,0518,30.48,2090.30,2,1922,R,242.5,1,5,1,2024-07-01,705500,236100,941600,914200
66112,Baie-D'Urfé,70299875305,,1000,0518,27.43,1254.20,2,1950,R,270.5,1,5,1,2024-07-01,470300,492500,962800,934800
66112,Baie-D'Urfé,70299879570,,1000,0518,27.43,1254.20,1,1950,R,192.5,1,4,1,2024-07-01,470300,340900,811200,787600
66112,Baie-D'Urfé,70299884919,,1000,0518,32.00,1916.10,2,1950,R,354.3,1,5,1,2024-07-01,682600,606100,1288700,1251200
66112,Baie-D'Urfé,70299991649,,1000,0518,38.10,1741.90,2,1950,R,375.5,1,5,1,2024-07-01,633600,777000,1410600,1369500
66112,Baie-D'Urfé,70309095068,,1000,0518,45.72,2090.30,1,1950,R,247.5,1,4,1,2024-07-01,705500,375700,1081200,1049700
66112,Baie-D'Urfé,71300000446,,1000,0518,30.48,1393.50,2,1951,R,238.5,1,5,1,2024-07-01,522600,444900,967500,939300
66112,Baie-D'Urfé,70309040833,,1000,0518,65.84,2625.50,2,1915,R,494.9,1,5,1,2024-07-01,787700,902400,1690100,1640900
66112,Baie-D'Urfé,70309034281,,1000,0518,45.72,1850.60,1,1950,R,295.7,1,5,1,2024-07-01,659300,444300,1103600,1071500
66112,Baie-D'Urfé,70299930902,,1000,0518,30.48,1238.60,1,1952,R,126.8,1,1,1,2024-07-01,464500,202100,666600,647200
66112,Baie-D'Urfé,70299925522,,1000,0518,45.72,1863.90,1,1936,R,359.0,1,4,1,2024-07-01,664000,467100,1131100,1098200
66112,Baie-D'Urfé,70299820996,,1000,0518,30.48,1249.80,2,1945,R,184.1,1,5,1,2024-07-01,468700,365800,834500,810200
66112,Baie-D'Urfé,70299815616,,1000,0518,45.72,1879.10,1,1950,R,170.8,1,4,1,2024-07-01,669400,179600,849000,824300
66112,Baie-D'Urfé,70299810179,,1000,0518,42.67,1768.20,2,1950,R,255.0,1,5,1,2024-07-01,636600,313100,949700,922000
66112,Baie-D'Urfé,70299707847,,1000,0518,24.38,1008.10,2,1950,R,217.7,1,5,1,2024-07-01,378000,332800,710800,690100
66112,Baie-D'Urfé,70299704596,,1000,0518,24.38,1011.90,1,1950,R,171.1,1,4,1,2024-07-01,379500,274100,653600,634600
66112,Baie-D'Urfé,70299700321,,1000,0518,30.48,1270.40,2,1953,R,195.1,1,5,1,2024-07-01,476400,516000,992400,963500
66112,Baie-D'Urfé,70298694897,,1000,0518,42.20,2301.70,2,1913,R,277.6,1,4,1,2024-07-01,690500,211600,902100,875800
66112,Baie-D'Urfé,70299600414,,1000,0518,30.33,2722.10,2,1956,R,217.0,1,5,1,2024-07-01,765600,545500,1311100,1272900
