ct_uid,admin_name,admin_geography_type,places_touched,name_is_a_majority_call,population_in_place,tract_population,population_named_elsewhere,assignment_basis
4620080.00,Le Sud-Ouest,borough,1,False,782,782,0,population
4620081.00,Le Sud-Ouest,borough,1,False,3553,3553,0,population
4620082.00,Le Sud-Ouest,borough,1,False,2186,2186,0,population
4620083.00,Le Sud-Ouest,borough,1,False,3406,3406,0,population
4620084.00,Le Sud-Ouest,borough,1,False,2793,2793,0,population
4620085.00,Le Sud-Ouest,borough,1,False,747,747,0,population
4620086.00,Le Sud-Ouest,borough,1,False,3934,3934,0,population
4620087.00,Le Sud-Ouest,borough,1,False,3221,3221,0,population
4620088.00,Le Sud-Ouest,borough,1,False,3585,3585,0,population
4620089.00,Le Sud-Ouest,borough,1,False,4916,4916,0,population
4620090.00,Le Sud-Ouest,borough,1,False,4589,4589,0,population
4620091.00,Le Sud-Ouest,borough,1,False,0,0,0,dissemination_area_count
4620092.00,Le Sud-Ouest,borough,1,False,5984,5984,0,population
4620093.00,Le Sud-Ouest,borough,1,False,3253,3253,0,population
4620094.01,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,6306,6306,0,population
4620094.02,Le Sud-Ouest,borough,1,False,10,10,0,population
4620095.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2147,2147,0,population
4620096.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2370,2370,0,population
4620097.01,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,6174,6174,0,population
4620097.02,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4133,4133,0,population
4620098.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,5466,5466,0,population
4620099.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,5742,5742,0,population
4620100.01,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4147,4147,0,population
4620100.02,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,3442,3442,0,population
4620101.01,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4082,4082,0,population
4620101.02,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,3728,3728,0,population
